Symbol,Name,Type,Date,shares,Price,Cash Value,Commission,Currency,汇率,,
601668.SS,中国建筑,买入,2013-12-24,6700,3.2," -21,456.88 ",16.88,人民币,,,
900905.SS,老凤祥B,买入,2013-12-24,1000,2.323," -2,325.32 ",2.32,美元,605.41,,
000002.SZ,万科A,买入,2014-2-12,1300,7.56," -9,833.95 ",5.95,人民币,,,
000157.SZ,中联重科,买入,2014-2-12,1900,5.22," -9,923.95 ",5.95,人民币,,,
000651.SZ,格力电器,买入,2014-2-26,700,28.26," -19,793.87 ",11.87,人民币,,,
600660.SS,福耀玻璃,买入,2014-3-11,2700,7.51," -20,290.79 ",13.79,人民币,,,
600660.SS,福耀玻璃,买入,2014-3-26,2500,8.05," -20,138.58 ",13.58,人民币,,,
900905.SS,老凤祥B,买入,2014-3-27,700,2.429," -1,702.15 ",1.85,美元,614.65,,
900905.SS,老凤祥B,买入,2014-4-21,600,2.516," -1,511.35 ",1.75,美元,614.65,,
000002.SZ,万科A,红利,2014-5-7,,," 1,113.19 ",,人民币,,,
600660.SS,福耀玻璃,红利,2014-5-16,,," 8,882.50 ",,人民币,,,
000651.SZ,格力电器,红利,2014-6-5,,," 12,468.75 ",,人民币,,,
601668.SS,中国建筑,红利,2014-6-16,,," 6,656.65 ",,人民币,,,
600016.SS,民生银行,红利,2014-6-24,,, 749.70 ,,人民币,,,
600016.SS,民生银行,拆分,2014-6-25,1.2,,,,人民币,,,
1988.HK,民生银行,拆分,2014-6-25,1.2,,,,港币,78.95,,
200869.SZ,张裕B,红利,2014-7-15,,, 955.01 ,,港币,78.95,,
601166.SS,兴业银行,红利,2014-7-17,,, 235.98 ,,人民币,,,
900905.SS,老凤祥B,红利,2014-7-28,,," 1,439.18 ",,美元,614.65,,
2039.HK,中集集团,红利,2014-8-4,,," 3,209.14 ",,港币,78.95,,
510330.SS,华夏300,买入,2014-8-6,12500,2.407," -30,105.55 ",18.05,人民币,,,
900905.SS,老凤祥B,买入,2014-8-6,500,2.77," -1,386.69 ",1.69,美元,614.65,,
000157.SZ,中联重科,红利,2014-8-7,,," 1,576.05 ",,人民币,,,
1988.HK,民生银行,红利,2014-8-11,,, 618.11 ,,港币,78.95,,
2039.HK,中集集团,卖出,2014-8-11,5200,17.36," 90,033.36 ",141.14,港币,78.95,,
510330.SS,华夏300,买入,2014-8-11,30000,2.401," -72,073.22 ",43.22,人民币,,,
600016.SS,民生银行,买入,2014-8-25,4600,6.3," -29,000.15 ",20.15,人民币,,,
000338.SZ,潍柴动力,红利,2014-8-26,,, 206.20 ,,人民币,,,
900905.SS,老凤祥B,买入,2014-10-31,700,2.844," -1,992.80 ",2,美元,614.65,,
510330.SS,华夏300,买入,2014-10-31,15700,2.562," -40,247.53 ",24.13,人民币,,,
510330.SS,华夏300,红利,2014-12-2,,," 1,164.00 ",,人民币,,,
600016.SS,民生银行,卖出,2014-12-23,7500,10.25," 76,747.49 ",127.51,人民币,,,
1988.HK,民生银行,买入,2014-12-23,10000,," -78,619.24 ",,港币,100,沪港通买入,
900905.SS,老凤祥B,买入,2014-12-23,400,2.943," -1,178.79 ",1.59,美元,620.15,,
600016.SS,民生银行,红利,2015-1-8,,,547.49,,人民币,,,
2039.HK,中集集团,卖出,2015-2-2,5300,14.8," 78,230.09 ",209.91,港币,80.79,,
900905.SS,老凤祥B,买入,2015-2-2,400,3.078," -1,232.82 ",1.62,美元,626.52,,
900905.SS,老凤祥B,买入,2015-2-2,2500,3.079," -7,697.50 ",7.7,美元,626.52,,
1988.HK,民生银行,红利,2015-2-4,,, 600.00 ,,人民币,,,
000157.SZ,中联重科,卖出,2015-2-5,11060,6.13," 67,689.32 ",108.48,人民币,,,
000651.SZ,格力电器,买入,2015-2-5,800,40.64," -32,531.51 ",19.51,人民币,,,
600660.SS,福耀玻璃,买入,2015-2-5,2400,13.34," -32,036.65 ",20.65,人民币,,,
900905.SS,老凤祥B,买入,2015-2-5,2200,3.147," -6,930.32 ",6.92,美元,626.52,,
1157.HK,中联重科,买入,2015-2-5,5600,4.92," -27,684.12 ",132.12,港币,80.79,,
600660.SS,福耀玻璃,红利,2015-4-14,,," 15,033.75 ",,人民币,,,
900905.SS,老凤祥B,红利,2015-4-14,,," 1,320.00 ",,美元,626.52,,
900905.SS,老凤祥B,买入,2015-4-14,300,4.4," -1,321.66 ",1.66,美元,626.52,,
601166.SS,兴业银行,红利,2015-5-26,,, 292.41 ,,人民币,,,
601668.SS,中国建筑,红利,2015-6-15,,," 8,006.60 ",,人民币,,,
000651.SZ,格力电器,红利,2015-7-2,,," 27,217.50 ",,人民币,,,
000651.SZ,格力电器,拆分,2015-7-2,2,,,,人民币,,,
600016.SS,民生银行,红利,2015-7-6,,,802.98,,人民币,,,
200869.SZ,张裕B,红利,2015-7-15,,,847.76,,港币,81.97,,
000002.SZ,万科A,红利,2015-7-20,,,1357.55,,人民币,,,
1988.HK,民生银行,红利,2015-7-27,,,1054.67,,港币,81.97,,
1988.HK,民生银行,红利,2015-7-29,,,880,,人民币,,,
1157.HK,中联重科,红利,2015-8-7,,,319.54,,港币,81.97,,
000338.SZ,潍柴动力,红利,2015-8-9,,,133.2,,人民币,,,
900905.SS,老凤祥B,买入,2015-8-11,2300,4.23," -9,738.72 ",9.72,美元,635.23,,
900905.SS,老凤祥B,红利,2015-8-18,,,2495.66,,美元,635.23,,
900905.SS,老凤祥B,买入,2015-8-19,600,4.011," -2,409.00 ",2.4,美元,635.23,,
000338.SZ,潍柴动力,拆分,2015-8-19,2,,,,人民币,,,
000338.SZ,潍柴动力,红利,2015-10-19,,, 288.00 ,,人民币,,,
000786.SZ,北新建材,买入,2015-10-29,100,13.58,-1363,5,人民币,,,
3968.HK,招商银行,买入,2016-1-13,2000,," -27,008.25 ",,人民币,,,
