公司代码,公司简称,symbol,name,A股上市日期,A股总股本,A股流通股本,industry,currency,exchange
600051,宁波联合,600051,宁波联合,1997-04-10,31088,30579.2, ,CNY,SSE
600052,浙江广厦,600052,浙江广厦,1997-04-18,87178.91,87178.91, ,CNY,SSE
600053,九鼎投资,600053,九鼎投资,1997-04-18,43354.08,43354.08, ,CNY,SSE
600054,黄山旅游,600054,黄山旅游,1997-05-06,74730,45070.5, ,CNY,SSE
600055,万东医疗,600055,万东医疗,1997-05-19,38629.73,34632, ,CNY,SSE
600056,中国医药,600056,中国医药,1997-05-15,106848.55,101213.61, ,CNY,SSE
600057,象屿股份,600057,象屿股份,1997-06-04,117077.94,98332.72, ,CNY,SSE
600058,五矿发展,600058,五矿发展,1997-05-28,107191.07,107191.07, ,CNY,SSE
600059,古越龙山,600059,古越龙山,1997-05-16,80852.42,80852.42, ,CNY,SSE
600060,海信电器,600060,海信电器,1997-04-22,130848.12,130848.12, ,CNY,SSE
600061,国投安信,600061,国投安信,1997-05-19,369415.17,196236.5, ,CNY,SSE
600062,华润双鹤,600062,华润双鹤,1997-05-22,72447.06,57169.59, ,CNY,SSE
600063,皖维高新,600063,皖维高新,1997-05-28,164589.47,152011.33, ,CNY,SSE
600064,南京高科,600064,南京高科,1997-05-06,77247.31,77247.31, ,CNY,SSE
600066,宇通客车,600066,宇通客车,1997-05-08,221393.92,190348.42, ,CNY,SSE
600067,冠城大通,600067,冠城大通,1997-05-08,148779.47,148779.47, ,CNY,SSE
600068,葛洲坝,600068,葛洲坝,1997-05-26,460477.74,414857.63, ,CNY,SSE
600069,银鸽投资,600069,银鸽投资,1997-04-30,124910.3,82537.41, ,CNY,SSE
600070,浙江富润,600070,浙江富润,1997-06-04,35661.31,35661.31, ,CNY,SSE
600071,凤凰光学,600071,凤凰光学,1997-05-28,23747.25,23747.25, ,CNY,SSE
600072,钢构工程,600072,钢构工程,1997-06-03,47842.96,47842.96, ,CNY,SSE
600073,上海梅林,600073,上海梅林,1997-07-04,93772.95,93772.95, ,CNY,SSE
600074,保千里,600074,保千里,1997-06-23,243788.6,89786.13, ,CNY,SSE
600075,新疆天业,600075,新疆天业,1997-06-17,69465.88,43859.2, ,CNY,SSE
600076,康欣新材,600076,康欣新材,1997-05-26,103426.41,36553.6, ,CNY,SSE
600077,宋都股份,600077,宋都股份,1997-05-20,134012.23,134012.23, ,CNY,SSE
600078,澄星股份,600078,澄星股份,1997-06-27,66257.29,66257.29, ,CNY,SSE
600079,人福医药,600079,人福医药,1997-06-06,128604.91,105755.44, ,CNY,SSE
600080,金花股份,600080,金花股份,1997-06-12,30529.59,30529.59, ,CNY,SSE
600081,东风科技,600081,东风科技,1997-07-03,31356,31356, ,CNY,SSE
600082,海泰发展,600082,海泰发展,1997-06-20,64611.58,63242.48, ,CNY,SSE
600083,博信股份,600083,博信股份,1997-06-06,23000,22692.28, ,CNY,SSE
600084,中葡股份,600084,中葡股份,1997-07-11,112372.68,99820.38, ,CNY,SSE
600085,同仁堂,600085,同仁堂,1997-06-25,137147.03,137147.03, ,CNY,SSE
600086,东方金钰,600086,东方金钰,1997-06-06,135000,105684.5, ,CNY,SSE
600088,中视传媒,600088,中视传媒,1997-06-16,33142.2,33142.2, ,CNY,SSE
600089,特变电工,600089,特变电工,1997-06-18,324348.09,319962.43, ,CNY,SSE
600090,同济堂,600090,同济堂,1997-06-16,143966.29,36791.66, ,CNY,SSE
600091,ST明科,600091,ST明科,1997-07-04,43741.25,33652.6, ,CNY,SSE
600093,禾嘉股份,600093,禾嘉股份,1997-06-26,112244.75,32244.75, ,CNY,SSE
600094,大名城,600094,大名城,1997-07-03,247532.51,201155.69, ,CNY,SSE
600095,哈高科,600095,哈高科,1997-07-08,36126.36,36126.36, ,CNY,SSE
600096,云天化,600096,云天化,1997-07-09,132137.91,112213.01, ,CNY,SSE
600097,开创国际,600097,开创国际,1997-06-19,20259.79,20259.79, ,CNY,SSE
600098,广州发展,600098,广州发展,1997-07-18,272619.66,272619.66, ,CNY,SSE
600099,林海股份,600099,林海股份,1997-07-04,21912,21912, ,CNY,SSE
600100,同方股份,600100,同方股份,1997-06-27,296389.9,219788.22, ,CNY,SSE
600101,明星电力,600101,明星电力,1997-06-27,32417.9,32417.9, ,CNY,SSE
600103,青山纸业,600103,青山纸业,1997-07-03,177370.6,106184.16, ,CNY,SSE
600104,上汽集团,600104,上汽集团,1997-11-25,1102556.66,1102556.66, ,CNY,SSE
600105,永鼎股份,600105,永鼎股份,1997-09-29,94499.31,76190.93, ,CNY,SSE
600106,重庆路桥,600106,重庆路桥,1997-06-18,90774.2,90774.2, ,CNY,SSE
600107,美尔雅,600107,美尔雅,1997-11-06,36000,36000, ,CNY,SSE
600108,亚盛集团,600108,亚盛集团,1997-08-18,194691.51,194691.51, ,CNY,SSE
600109,国金证券,600109,国金证券,1997-08-07,302435.93,302435.93, ,CNY,SSE
600110,诺德股份,600110,诺德股份,1997-10-07,115031.21,115031.21, ,CNY,SSE
600111,北方稀土,600111,北方稀土,1997-09-24,363306.6,363306.6, ,CNY,SSE
600112,天成控股,600112,天成控股,1997-11-27,50920.48,50920.48, ,CNY,SSE
600113,浙江东日,600113,浙江东日,1997-10-21,31860,31860, ,CNY,SSE
600114,东睦股份,600114,东睦股份,2004-05-11,39076.55,38113.55, ,CNY,SSE
600115,东方航空,600115,东方航空,1997-11-05,1446758.57,1314017.89, ,CNY,SSE
600116,三峡水利,600116,三峡水利,1997-08-04,99300.55,88800.55, ,CNY,SSE
600117,西宁特钢,600117,西宁特钢,1997-10-15,74121.93,74121.93, ,CNY,SSE
600118,中国卫星,600118,中国卫星,1997-09-08,118248.91,118248.91, ,CNY,SSE
600119,长江投资,600119,长江投资,1998-01-15,30740,30740, ,CNY,SSE
600120,浙江东方,600120,浙江东方,1997-12-01,50547.35,50547.35, ,CNY,SSE
600121,郑州煤电,600121,郑州煤电,1998-01-07,101534.34,101534.34, ,CNY,SSE
600122,宏图高科,600122,宏图高科,1998-04-20,114997.34,114647.34, ,CNY,SSE
600123,兰花科创,600123,兰花科创,1998-12-17,114240,114240, ,CNY,SSE
600125,铁龙物流,600125,铁龙物流,1998-05-11,130552.19,130552.19, ,CNY,SSE
600126,杭钢股份,600126,杭钢股份,1998-03-11,259783.78,83893.88, ,CNY,SSE
600127,金健米业,600127,金健米业,1998-05-06,64178.32,54445.96, ,CNY,SSE
600128,弘业股份,600128,弘业股份,1997-09-01,24676.75,24676.75, ,CNY,SSE
600129,太极集团,600129,太极集团,1997-11-18,42689.4,42689.4, ,CNY,SSE
600130,波导股份,600130,波导股份,2000-07-06,76800,76800, ,CNY,SSE
600131,岷江水电,600131,岷江水电,1998-04-02,50412.52,39743.81, ,CNY,SSE
600132,重庆啤酒,600132,重庆啤酒,1997-10-30,48397.12,48397.12, ,CNY,SSE
600133,东湖高新,600133,东湖高新,1998-02-12,63425.78,53794.89, ,CNY,SSE
600135,乐凯胶片,600135,乐凯胶片,1998-01-22,37299.17,36834.3, ,CNY,SSE
600136,当代明诚,600136,当代明诚,1998-03-03,48718.22,24105.49, ,CNY,SSE
600137,浪莎股份,600137,浪莎股份,1998-04-16,9721.76,9721.76, ,CNY,SSE
600138,中青旅,600138,中青旅,1997-12-03,72384,70271.82, ,CNY,SSE
600139,西部资源,600139,西部资源,1998-02-25,66189.05,66189.05, ,CNY,SSE
600141,兴发集团,600141,兴发集团,1999-06-16,51223.73,48029.72, ,CNY,SSE
600143,金发科技,600143,金发科技,2004-06-23,256000,256000, ,CNY,SSE
600145,*ST新亿,600145,*ST新亿,1999-09-23,149110.04,149110.04, ,CNY,SSE
600146,商赢环球,600146,商赢环球,1999-07-07,46997,20000, ,CNY,SSE
600148,长春一东,600148,长春一东,1998-05-20,14151.65,14151.65, ,CNY,SSE
600149,廊坊发展,600149,廊坊发展,1999-10-14,38016,38016, ,CNY,SSE
600150,中国船舶,600150,中国船舶,1998-05-20,137811.76,137811.76, ,CNY,SSE
600151,航天机电,600151,航天机电,1998-06-05,143425.23,125017.99, ,CNY,SSE
600152,维科精华,600152,维科精华,1998-06-09,29349.42,29349.42, ,CNY,SSE
600153,建发股份,600153,建发股份,1998-06-16,283520.05,283520.05, ,CNY,SSE
600155,宝硕股份,600155,宝硕股份,1998-09-18,119234.48,41250, ,CNY,SSE
600156,华升股份,600156,华升股份,1998-05-27,40211.07,40211.07, ,CNY,SSE
600157,永泰能源,600157,永泰能源,1998-05-13,1242579.53,459565.48, ,CNY,SSE
600158,中体产业,600158,中体产业,1998-03-27,84373.54,65749.54, ,CNY,SSE
600159,大龙地产,600159,大龙地产,1998-05-26,83000.32,83000.32, ,CNY,SSE
600160,巨化股份,600160,巨化股份,1998-06-26,211166.62,181091.6, ,CNY,SSE
600161,天坛生物,600161,天坛生物,1998-06-16,51546.69,51546.69, ,CNY,SSE
600162,香江控股,600162,香江控股,1998-06-09,280925.92,115171.89, ,CNY,SSE
600163,中闽能源,600163,中闽能源,1998-06-02,99946.52,75362.39, ,CNY,SSE
600165,新日恒力,600165,新日恒力,1998-05-29,68488.38,68488.38, ,CNY,SSE
600166,福田汽车,600166,福田汽车,1998-06-02,667013.13,667013.13, ,CNY,SSE
600167,联美控股,600167,联美控股,1999-01-28,68014.93,21100, ,CNY,SSE
600168,武汉控股,600168,武汉控股,1998-04-27,70956.97,70956.97, ,CNY,SSE
