買賣單位,symbol,name,currency,exchange,industry,買賣單位
"4,000",00159,布萊克萬礦業,HKD,HKEX, ,"4,000"
"2,000",00160,漢國置業,HKD,HKEX, ,"2,000"
"2,000",00161,中航國際控股,HKD,HKEX, ,"2,000"
"2,000",00162,世紀金花,HKD,HKEX, ,"2,000"
"2,000",00163,英皇國際,HKD,HKEX, ,"2,000"
"25,000",00164,中國寶力科技,HKD,HKEX, ,"25,000"
"2,000",00165,中國光大控股,HKD,HKEX, ,"2,000"
"2,000",00166,新時代能源,HKD,HKEX, ,"2,000"
"2,000",00167,IDT INT'L,HKD,HKEX, ,"2,000"
"2,000",00168,青島啤酒股份,HKD,HKEX, ,"2,000"
"1,000",00169,萬達酒店發展,HKD,HKEX, ,"1,000"
"2,000",00171,銀建國際,HKD,HKEX, ,"2,000"
"10,000",00172,金榜集團,HKD,HKEX, ,"10,000"
"1,000",00173,嘉華國際,HKD,HKEX, ,"1,000"
"2,000",00174,盛洋投資,HKD,HKEX, ,"2,000"
"5,000",00175,吉利汽車,HKD,HKEX, ,"5,000"
"2,000",00176,聯太工業,HKD,HKEX, ,"2,000"
"2,000",00177,江蘇寧滬高速公路,HKD,HKEX, ,"2,000"
"2,000",00178,莎莎國際,HKD,HKEX, ,"2,000"
500,00179,德昌電機控股,HKD,HKEX, ,500
"2,000",00180,開達集團,HKD,HKEX, ,"2,000"
"20,000",00181,閩港控股,HKD,HKEX, ,"20,000"
"10,000",00182,協合新能源,HKD,HKEX, ,"10,000"
"8,000",00183,宏輝集團,HKD,HKEX, ,"8,000"
"2,000",00184,激成投資,HKD,HKEX, ,"2,000"
"10,000",00185,正恒國際控股,HKD,HKEX, ,"10,000"
"30,000",00186,GRANDE HOLDINGS,HKD,HKEX, ,"30,000"
"2,000",00187,京城機電股份,HKD,HKEX, ,"2,000"
"10,000",00188,新華匯富金融,HKD,HKEX, ,"10,000"
"1,000",00189,東岳集團,HKD,HKEX, ,"1,000"
"1,000",00190,香港建設（控股）,HKD,HKEX, ,"1,000"
"5,000",00191,麗新國際,HKD,HKEX, ,"5,000"
"15,000",00193,冠中地產,HKD,HKEX, ,"15,000"
"2,000",00194,廖創興企業,HKD,HKEX, ,"2,000"
"10,000",00195,利海資源,HKD,HKEX, ,"10,000"
"1,000",00196,宏華集團,HKD,HKEX, ,"1,000"
"5,000",00197,亨泰,HKD,HKEX, ,"5,000"
"4,000",00198,星美控股,HKD,HKEX, ,"4,000"
"1,000",00199,德祥地產,HKD,HKEX, ,"1,000"
"1,000",00200,新濠國際發展,HKD,HKEX, ,"1,000"
"2,000",00201,華大酒店,HKD,HKEX, ,"2,000"
"5,000",00202,潤中國際控股,HKD,HKEX, ,"5,000"
"20,000",00205,財訊傳媒,HKD,HKEX, ,"20,000"
"1,000",00206,ＴＳＣ集團,HKD,HKEX, ,"1,000"
"2,000",00207,大悅城地產,HKD,HKEX, ,"2,000"
"5,000",00208,保利達資產,HKD,HKEX, ,"5,000"
"4,000",00209,瀛晟科學,HKD,HKEX, ,"4,000"
"2,000",00210,達芙妮國際,HKD,HKEX, ,"2,000"
"10,000",00211,STYLAND HOLD,HKD,HKEX, ,"10,000"
500,00212,NANYANG HOLD,HKD,HKEX, ,500
"2,000",00213,NATIONAL ELEC H,HKD,HKEX, ,"2,000"
"2,000",00214,匯漢控股,HKD,HKEX, ,"2,000"
"2,000",00215,和記電訊香港,HKD,HKEX, ,"2,000"
"4,000",00216,建業實業,HKD,HKEX, ,"4,000"
"2,000",00217,中國誠通發展集團,HKD,HKEX, ,"2,000"
"5,000",00218,申萬宏源,HKD,HKEX, ,"5,000"
"2,000",00219,順豪物業,HKD,HKEX, ,"2,000"
"1,000",00220,統一企業中國,HKD,HKEX, ,"1,000"
"10,000",00221,易易壹金融,HKD,HKEX, ,"10,000"
"2,000",00222,閩信集團,HKD,HKEX, ,"2,000"
"2,000",00223,易生活控股,HKD,HKEX, ,"2,000"
"4,000",00224,建生國際,HKD,HKEX, ,"4,000"
"2,000",00225,博富臨置業,HKD,HKEX, ,"2,000"
"1,000",00226,力寶,HKD,HKEX, ,"1,000"
"8,000",00227,第一上海,HKD,HKEX, ,"8,000"
"2,000",00228,中能控股,HKD,HKEX, ,"2,000"
"1,000",00229,利民實業,HKD,HKEX, ,"1,000"
"2,000",00230,五礦地產,HKD,HKEX, ,"2,000"
"20,000",00231,平安證券集團控股,HKD,HKEX, ,"20,000"
